Year,Total,"lowest","second","third","fourth","highest","top5"
2020,18.77,3,8.1,14,22.6,52.3,23
2019,19.2,3.1,8.2,14.1,22.7,51.9,23
2018,18.72,3.1,8.2,14.1,22.6,52,23.1
2017,18.3,3.1,8.2,14.1,22.8,51.9,22.8
2016,17.81,3.1,8.3,14.2,22.9,51.5,22.6
2015,17.46,3.1,8.2,14.3,23.3,51.1,22.1
2014,17.14,3.1,8.2,14.3,23.2,51.2,21.9
2013,16.71,3.15,8.3,14.35,23,51.2,22.2
2012,16.3,3.2,8.3,14.4,23,51.1,22.3
2011,16.05,3.2,8.4,14.3,23,51.1,22.3
2010,15.81,3.3,8.5,14.5,23.4,50.3,21.3
2009,15.38,3.4,8.6,14.5,23.2,50.3,21.7
2008,15.37,3.4,8.6,14.7,23.3,50,21.5
2007,15.77,3.4,8.7,14.8,23.4,49.7,21.2
2006,15.43,3.4,8.6,14.5,22.9,50.6,22.3
2005,15.04,3.4,8.6,14.6,23,50.4,22.2
2004,14.61,3.4,8.6,14.7,23.2,50.1,21.8
2003,14.13,3.4,8.6,14.8,23.4,49.8,21.4
2002,13.55,3.5,8.7,14.8,23.3,49.7,21.7
2001,13.28,3.5,8.7,14.6,23,50.2,22.4
2000,13.26,3.6,8.8,14.8,23,49.8,22.1
1999,12.89,3.6,8.9,14.9,23.2,49.4,21.5
1998,12.29,3.6,9,15,23.2,49.2,21.4
1997,11.72,3.6,8.9,15,23.2,49.3,21.7
1996,11.22,3.6,9,15.1,23.3,49,21.4
1995,10.74,3.7,9.1,15.2,23.3,48.7,21
1994,10.51,3.6,8.9,15,23.4,49.1,21.2
1993,10.1,3.6,9,15.1,23.4,48.9,21
1992,9.84,3.8,9.4,15.8,24.1,46.9,18.6
1991,9.43,3.8,9.6,15.9,24.2,46.5,18.1
1990,9.32,3.8,9.7,15.9,24,46.6,18.5
1989,9.26,3.8,9.5,15.9,24,46.8,18.9
1988,9.02,3.8,9.7,16,24.2,46.3,18.3
1987,8.69,3.8,9.6,16.1,24.3,46.2,18.2
1986,8.31,3.8,9.7,16.2,24.3,46,18
1985,8.08,3.9,9.9,16.2,24.4,45.6,17.6
1984,7.75,4,9.9,16.3,24.6,45.2,17.1
1983,7.34,4,9.9,16.4,24.6,45.1,17
1982,6.81,4,10,16.5,24.5,45,17
1981,6.91,4.1,10.1,16.7,24.8,44.3,16.5
1980,6.82,4.2,10.2,16.8,24.7,44.1,16.5
1979,6.82,4.1,10.2,16.8,24.7,44.2,16.9
1978,6.73,4.2,10.2,16.8,24.7,44.1,16.8
1977,6.31,4.2,10.2,16.9,24.7,44,16.8
1976,6.01,4.3,10.3,17,24.7,43.7,16.6
1975,5.76,4.3,10.4,17,24.7,43.6,16.5
1974,5.62,4.3,10.6,17,24.6,43.5,16.5
1973,5.73,4.2,10.4,17,24.5,43.9,16.9
1972,5.51,4.1,10.4,17.1,24.5,43.9,17
1971,5.15,4.1,10.6,17.3,24.5,43.5,16.7
1970,4.94,4.1,10.8,17.4,24.5,43.2,16.6
1969,4.95,4.1,10.9,17.5,24.5,43,16.6
1968,4.85,4.2,11.1,17.6,24.5,42.6,16.3
1967,4.62,4,10.8,17.3,24.2,43.7,17.2
